pass_cmp_home_off,pass_att_home_off,pass_pct_home_off,pass_yds_home_off,pass_td_home_off,rush_att_home_off,rush_yds_home_off,rush_avg_home_off,rush_td_home_off,total_plays_home_off,total_yds_home_off,total_avg_home_off,penalty_num_home_off,penalty_yds_home_off,fumbles_home_off,interceptions_home_off,turnovers_home_off,pass_cmp_home_def,pass_att_home_def,pass_pct_home_def,pass_yds_home_def,pass_td_home_def,rush_att_home_def,rush_yds_home_def,rush_avg_home_def,rush_td_home_def,total_plays_home_def,total_yds_home_def,total_avg_home_def,penalty_num_home_def,penalty_yds_home_def,fumbles_home_def,interceptions_home_def,turnovers_home_def,pass_cmp,pass_att,pass_pct,pass_yds,pass_td,rush_att,rush_yds,rush_avg,rush_td,total_plays,total_yds,total_avg,penalty_num,penalty_yds,fumbles,interceptions,turnovers,pass_cmp_away_off,pass_att_away_off,pass_pct_away_off,pass_yds_away_off,pass_td_away_off,rush_att_away_off,rush_yds_away_off,rush_avg_away_off,rush_td_away_off,total_plays_away_off,total_yds_away_off,total_avg_away_off,penalty_num_away_off,penalty_yds_away_off,fumbles_away_off,interceptions_away_off,turnovers_away_off
18.0,30.2,59.7,230.0,0.7,41.8,207.2,5.0,2.7,72.0,437.2,6.1,7.7,68.8,1.0,0.8,1.8,18.2,28.3,64.1,227.5,1.7,35.2,133.8,3.8,1.2,63.5,361.3,5.7,10.3,71.8,0.7,1.3,2.0,14.6,26.6,54.8,181.1,1.1,34.4,172.0,5.0,2.0,61.0,353.1,5.8,5.0,39.7,0.7,0.9,1.6,21.7,31.0,70.0,267.0,1.9,38.7,220.9,5.7,2.9,69.7,487.9,7.0,4.4,37.7,0.9,0.9,1.7
20.5,34.0,60.3,236.3,1.8,31.2,68.0,2.2,0.7,65.2,304.3,4.7,5.2,36.2,1.0,1.0,2.0,17.8,31.3,56.9,219.0,1.3,37.0,152.7,4.1,2.2,68.3,371.7,5.4,6.2,50.0,0.2,0.7,0.8,18.0,30.2,59.7,230.0,0.7,41.8,207.2,5.0,2.7,72.0,437.2,6.1,7.7,68.8,1.0,0.8,1.8,18.2,28.3,64.1,227.5,1.7,35.2,133.8,3.8,1.2,63.5,361.3,5.7,10.3,71.8,0.7,1.3,2.0
19.3,35.5,54.5,227.2,0.8,32.5,129.7,4.0,1.3,68.0,356.8,5.2,7.5,71.3,1.3,1.2,2.5,20.0,30.5,65.6,212.0,1.2,40.7,163.0,4.0,1.5,71.2,375.0,5.3,7.0,64.2,1.2,0.7,1.8,18.0,30.2,59.7,230.0,0.7,41.8,207.2,5.0,2.7,72.0,437.2,6.1,7.7,68.8,1.0,0.8,1.8,18.2,28.3,64.1,227.5,1.7,35.2,133.8,3.8,1.2,63.5,361.3,5.7,10.3,71.8,0.7,1.3,2.0
20.5,34.0,60.3,236.3,1.8,31.2,68.0,2.2,0.7,65.2,304.3,4.7,5.2,36.2,1.0,1.0,2.0,17.8,31.3,56.9,219.0,1.3,37.0,152.7,4.1,2.2,68.3,371.7,5.4,6.2,50.0,0.2,0.7,0.8,15.0,27.3,54.9,173.2,1.0,39.2,160.8,4.1,1.5,66.5,334.0,5.0,8.2,69.2,0.3,1.3,1.7,17.3,29.2,59.4,194.2,1.5,31.7,91.7,2.9,1.2,60.8,285.8,4.7,6.7,50.0,0.3,1.3,1.7
21.0,35.6,59.0,214.6,1.0,34.0,107.3,3.2,1.1,69.6,321.9,4.6,8.1,67.9,0.4,1.0,1.4,19.7,33.4,59.0,222.7,1.0,33.1,133.9,4.0,1.6,66.6,356.6,5.4,7.1,64.1,0.4,0.3,0.7,20.5,34.0,60.3,236.3,1.8,31.2,68.0,2.2,0.7,65.2,304.3,4.7,5.2,36.2,1.0,1.0,2.0,17.8,31.3,56.9,219.0,1.3,37.0,152.7,4.1,2.2,68.3,371.7,5.4,6.2,50.0,0.2,0.7,0.8
22.3,33.8,66.0,287.3,3.2,35.0,162.5,4.6,1.7,68.8,449.8,6.5,6.5,59.8,0.3,0.5,0.8,17.7,27.7,63.9,215.3,1.3,36.0,122.5,3.4,1.8,63.7,337.8,5.3,6.2,55.0,1.0,0.5,1.5,23.3,34.0,68.5,326.7,3.4,36.7,179.3,4.9,2.0,70.7,506.0,7.2,7.1,62.3,0.9,0.4,1.3,25.0,36.6,68.4,290.0,2.6,39.4,186.3,4.7,1.7,76.0,476.3,6.3,6.7,57.6,0.4,0.7,1.1
13.8,24.8,55.7,202.3,2.0,47.0,234.3,5.0,1.7,71.8,436.7,6.1,8.0,70.8,0.7,0.8,1.5,20.7,32.0,64.6,258.3,2.2,41.3,180.0,4.4,1.7,73.3,438.3,6.0,4.5,48.3,0.8,1.7,2.5,23.3,34.0,68.5,326.7,3.4,36.7,179.3,4.9,2.0,70.7,506.0,7.2,7.1,62.3,0.9,0.4,1.3,25.0,36.6,68.4,290.0,2.6,39.4,186.3,4.7,1.7,76.0,476.3,6.3,6.7,57.6,0.4,0.7,1.1
23.3,34.0,68.5,326.7,3.4,36.7,179.3,4.9,2.0,70.7,506.0,7.2,7.1,62.3,0.9,0.4,1.3,25.0,36.6,68.4,290.0,2.6,39.4,186.3,4.7,1.7,76.0,476.3,6.3,6.7,57.6,0.4,0.7,1.1,17.8,28.0,63.7,208.3,1.7,39.7,170.7,4.3,1.3,67.7,379.0,5.6,4.3,38.8,0.7,0.7,1.3,18.0,30.0,60.0,210.2,1.8,35.8,138.3,3.9,0.8,65.8,348.5,5.3,5.2,43.2,0.2,0.2,0.3
23.3,34.0,68.5,326.7,3.4,36.7,179.3,4.9,2.0,70.7,506.0,7.2,7.1,62.3,0.9,0.4,1.3,25.0,36.6,68.4,290.0,2.6,39.4,186.3,4.7,1.7,76.0,476.3,6.3,6.7,57.6,0.4,0.7,1.1,21.0,35.6,59.0,214.6,1.0,34.0,107.3,3.2,1.1,69.6,321.9,4.6,8.1,67.9,0.4,1.0,1.4,19.7,33.4,59.0,222.7,1.0,33.1,133.9,4.0,1.6,66.6,356.6,5.4,7.1,64.1,0.4,0.3,0.7
19.3,29.3,65.9,228.6,1.3,37.6,205.9,5.5,2.6,66.9,434.4,6.5,6.1,61.0,0.0,0.6,0.6,21.9,35.1,62.2,260.6,1.9,34.3,142.9,4.2,0.9,69.4,403.4,5.8,5.9,61.4,1.4,0.3,1.7,23.3,34.0,68.5,326.7,3.4,36.7,179.3,4.9,2.0,70.7,506.0,7.2,7.1,62.3,0.9,0.4,1.3,25.0,36.6,68.4,290.0,2.6,39.4,186.3,4.7,1.7,76.0,476.3,6.3,6.7,57.6,0.4,0.7,1.1
