home_team,away_team,outcome,pts_for,pts_against
indiana,rutgers,L,3,38
indiana,minnesota,L,14,35
purdue,indiana,W,7,44
wisconsin,penn-state,L,10,16
penn-state,ball-state,W,44,13
penn-state,auburn,W,28,20
penn-state,villanova,W,38,17
iowa,penn-state,W,23,20
penn-state,illinois,L,18,20
maryland,penn-state,L,14,31
penn-state,michigan,L,17,21
penn-state,rutgers,W,28,0
michigan-state,penn-state,W,30,27
penn-state,arkansas,L,10,24
maryland,howard,W,62,0
illinois,maryland,L,17,20
maryland,kent-state,W,37,16
maryland,iowa,L,14,51
minnesota,maryland,W,34,16
michigan-state,maryland,W,40,21
maryland,michigan,L,18,59
rutgers,maryland,L,16,40
maryland,virginia-tech,W,54,10
michigan,western-michigan,W,47,14
michigan,washington,W,31,10
michigan,northern-illinois,W,63,10
michigan,rutgers,W,20,13
wisconsin,michigan,L,17,38
nebraska,michigan,L,29,32
michigan,northwestern,W,7,33
michigan-state,michigan,W,37,33
michigan,iowa,W,42,3
michigan,georgia,L,11,34
rutgers,delaware,W,45,13
rutgers,michigan-state,L,13,31
northwestern,rutgers,W,7,21
illinois,rutgers,L,14,20
rutgers,wisconsin,L,3,52
rutgers,wake-forest,L,10,38
northwestern,michigan-state,L,21,38
michigan-state,youngstown-state,W,42,14
michigan-state,nebraska,W,23,20
michigan-state,western-kentucky,W,48,31
purdue,michigan-state,W,40,29
michigan-state,pitt,W,31,21
northwestern,indiana-state,W,6,24
northwestern,ohio,W,6,35
nebraska,northwestern,W,7,56
northwestern,minnesota,L,14,41
northwestern,iowa,L,12,17
wisconsin,northwestern,W,7,35
northwestern,purdue,L,14,32
illinois,northwestern,W,47,14
iowa,kent-state,W,7,30
iowa,colorado-state,W,24,14
iowa,purdue,L,24,7
wisconsin,iowa,W,7,27
iowa,minnesota,W,27,22
iowa,illinois,W,33,23
nebraska,iowa,L,21,28
iowa,michigan,L,3,42
iowa,kentucky,L,17,20
wisconsin,eastern-michigan,W,7,34
wisconsin,notre-dame,L,13,41
illinois,wisconsin,L,0,24
wisconsin,army,W,20,14
purdue,wisconsin,L,13,30
wisconsin,nebraska,W,35,28
minnesota,wisconsin,W,23,13
wisconsin,arizona-state,W,20,13
minnesota,miami-(oh),W,31,26
colorado,minnesota,L,0,30
minnesota,bowling-green,L,10,14
purdue,minnesota,L,13,20
minnesota,nebraska,W,30,23
minnesota,illinois,L,14,6
minnesota,west-virginia,W,6,18
illinois,nebraska,W,30,22
nebraska,fordham,W,7,52
nebraska,buffalo,W,3,28
nebraska,purdue,L,23,28
purdue,oregon-state,W,30,21
connecticut,purdue,L,0,49
purdue,illinois,W,9,13
purdue,northwestern,W,32,14
purdue,tennessee,W,48,45
illinois,utsa,L,30,37
illinois,charlotte,W,24,14
marshall,north-carolina-central,W,44,10
appalachian-state,marshall,W,31,30
middle-tennessee-state,marshall,W,34,28
marshall,old-dominion,W,20,13
north-texas,marshall,L,21,49
marshall,florida-international,W,38,0
florida-atlantic,marshall,L,13,28
