team,pass_cmp,pass_att,pass_pct,pass_yds,pass_td,rush_att,rush_yds,rush_avg,rush_td,total_plays,total_yds,total_avg,remove_1,remove_2,remove_3,remove_4,penalty_num,penalty_yds,fumbles,interceptions,turnovers
texas-am,19.0,30.2,62.9,234.1,2.0,37.5,205.2,5.5,2.1,67.7,439.3,6.5,10.6,11.3,1.6,23.4,6.2,57.9,0.4,0.4,0.8
auburn,19.6,32.9,59.7,220.3,1.1,35.6,162.5,4.6,1.5,68.5,382.8,5.6,9.5,10.0,1.2,20.6,5.8,49.8,0.2,0.6,0.8
louisiana-state,24.7,42.1,58.7,312.2,2.4,36.5,121.7,3.3,0.9,78.6,433.9,5.5,14.5,7.7,1.2,23.4,6.1,46.2,0.4,0.9,1.3
mississippi,23.8,33.5,71.0,344.9,3.0,46.2,211.0,4.6,2.3,79.7,555.9,7.0,13.7,12.2,1.7,27.6,6.0,51.6,0.4,1.4,1.8
mississippi-state,33.9,50.6,67.0,296.3,1.5,18.5,43.9,2.4,0.7,69.2,340.2,4.9,13.6,3.7,1.5,18.8,6.5,60.1,0.7,1.6,2.4
arkansas,18.3,28.4,64.4,240.2,2.0,39.4,151.3,3.8,1.1,67.8,391.5,5.8,10.0,8.8,1.9,20.7,6.4,45.7,0.7,0.6,1.3
coastal-carolina,15.9,23.9,66.6,231.5,2.4,43.2,218.3,5.1,2.5,67.1,449.8,6.7,10.1,11.9,1.3,23.3,3.7,35.7,0.6,0.4,1.0
appalachian-state,15.8,25.0,63.3,187.1,1.8,45.3,265.6,5.9,2.3,70.3,452.7,6.4,8.0,13.3,2.2,23.4,7.3,67.8,0.5,0.9,1.4
georgia-southern,7.5,13.5,55.1,104.2,0.7,48.9,267.2,5.5,2.2,62.5,371.5,5.9,3.8,12.5,1.0,17.2,4.1,33.8,0.5,0.8,1.3
georgia-state,17.9,30.7,58.3,230.3,1.8,44.3,194.0,4.4,2.2,75.0,424.3,5.7,10.0,9.1,1.6,20.7,5.5,58.7,1.0,1.0,2.0
troy,27.2,41.5,65.6,290.2,2.0,29.6,103.0,3.5,1.0,71.1,393.2,5.5,14.3,6.1,1.5,21.8,5.0,46.3,0.5,1.2,1.6
louisiana-lafayette,16.4,28.2,58.1,208.5,1.8,38.7,213.3,5.5,2.3,66.9,421.8,6.3,8.6,10.9,1.5,21.0,6.2,61.5,0.5,0.6,1.2
south-alabama,19.9,31.9,62.4,247.2,1.6,38.0,112.0,2.9,0.6,69.9,359.2,5.1,10.0,7.6,2.2,19.8,3.8,34.9,0.8,0.5,1.4
arkansas-state,25.0,42.1,59.4,364.4,3.5,35.1,125.4,3.6,0.6,77.2,489.7,6.3,15.5,6.6,2.4,24.5,6.4,57.4,0.6,0.8,1.5
texas-state,20.7,33.8,61.1,238.4,2.2,31.0,131.3,4.2,1.3,64.8,369.7,5.7,10.3,7.4,2.8,20.5,5.2,49.8,0.3,1.2,1.5
louisiana-monroe,22.3,38.3,58.2,229.0,1.4,24.8,76.7,3.1,0.8,63.1,305.7,4.8,10.7,4.4,1.4,16.5,4.8,43.7,0.7,1.2,1.9
